"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.283443400E-2,1.490999945E-3,1.629099995E-2,-2.016999992E-3,1.648296239E-2
9.535235000E-2,1.490999945E-3,1.096600015E-2,-2.016999992E-3,1.124920126E-2
9.789229800E-2,1.490999945E-3,3.510999959E-3,4.373000003E-3,5.802872614E-3
1.004321940E-1,-2.769000130E-3,-7.490001153E-4,2.243000083E-3,3.641347589E-3
1.029501110E-1,-2.769000130E-3,-3.944000229E-3,2.243000083E-3,5.315406748E-3
1.054639650E-1,-2.769000130E-3,-2.879000036E-3,4.373000003E-3,5.922763878E-3
1.080056310E-1,-3.834000090E-3,-3.944000229E-3,1.130000455E-4,5.501587363E-3
1.105468290E-1,-3.834000090E-3,-5.009000190E-3,1.178000006E-3,6.416955945E-3
1.131172980E-1,-3.834000090E-3,-7.139000110E-3,3.308000043E-3,8.752584964E-3
1.156352150E-1,-1.703999937E-3,3.160000779E-4,1.130000455E-4,1.736732807E-3
1.181474540E-1,4.259999259E-4,1.381000038E-3,1.178000006E-3,1.864489489E-3
1.206972460E-1,-6.390000344E-4,3.510999959E-3,1.178000006E-3,3.758074742E-3
1.232145900E-1,2.555999905E-3,7.771000266E-3,1.130000455E-4,8.181341556E-3
1.258106840E-1,1.490999945E-3,9.901000187E-3,2.243000083E-3,1.026079602E-2
1.283286000E-1,-6.390000344E-4,5.641000345E-3,4.373000003E-3,7.166054352E-3
1.308484960E-1,1.490999945E-3,5.641000345E-3,1.178000006E-3,5.952449054E-3
1.333515690E-1,-1.703999937E-3,3.510999959E-3,1.178000006E-3,4.076569699E-3
1.359608920E-1,-2.769000130E-3,3.160000779E-4,2.243000083E-3,3.577466581E-3
1.384788090E-1,-4.898999818E-3,-7.490001153E-4,-9.520000312E-4,5.046533904E-3
1.410099540E-1,-4.898999818E-3,-2.879000036E-3,1.178000006E-3,5.803147804E-3
1.435331310E-1,-2.769000130E-3,-1.814000076E-3,3.308000043E-3,4.679831437E-3
1.460592250E-1,-4.898999818E-3,-2.879000036E-3,3.308000043E-3,6.575082106E-3
1.486268290E-1,4.259999259E-4,-1.814000076E-3,1.178000006E-3,2.204485479E-3
1.511447460E-1,-6.390000344E-4,3.160000779E-4,1.178000006E-3,1.376902722E-3
1.536469860E-1,-1.703999937E-3,2.445999999E-3,3.308000043E-3,4.453021004E-3
1.562220900E-1,-6.390000344E-4,4.575999919E-3,1.130000455E-4,4.621781617E-3
1.587637560E-1,-6.390000344E-4,3.510999959E-3,-3.082000185E-3,4.715311962E-3
1.613205270E-1,-6.390000344E-4,5.641000345E-3,1.130000455E-4,5.678201736E-3
1.638384440E-1,-6.390000344E-4,5.641000345E-3,2.243000083E-3,6.104117898E-3
1.663491730E-1,-1.703999937E-3,3.160000779E-4,-9.520000312E-4,1.977315325E-3
1.688887040E-1,-1.703999937E-3,-1.814000076E-3,1.130000455E-4,2.491381358E-3
1.714245900E-1,-1.703999937E-3,3.160000779E-4,1.178000006E-3,2.095508494E-3
1.739425060E-1,-2.769000130E-3,-3.944000229E-3,2.243000083E-3,5.315406748E-3
1.765552150E-1,-3.834000090E-3,3.160000779E-4,1.178000006E-3,4.023319122E-3
1.790731310E-1,-3.834000090E-3,3.160000779E-4,2.243000083E-3,4.453140702E-3
1.815652150E-1,-3.834000090E-3,-7.490001153E-4,1.130000455E-4,3.908110397E-3
1.841059960E-1,-1.703999937E-3,-1.814000076E-3,1.130000455E-4,2.491381358E-3
1.866607360E-1,-1.703999937E-3,4.575999919E-3,1.130000455E-4,4.884276820E-3
1.892033920E-1,-6.390000344E-4,6.706000306E-3,1.178000006E-3,6.838599649E-3
1.917213090E-1,1.490999945E-3,2.445999999E-3,2.243000083E-3,3.638275168E-3
1.942499540E-1,4.259999259E-4,1.381000038E-3,1.130000455E-4,1.449622728E-3
1.967751110E-1,-6.390000344E-4,2.445999999E-3,-9.520000312E-4,2.701396138E-3
1.993624540E-1,-6.390000344E-4,2.445999999E-3,-9.520000312E-4,2.701396138E-3
2.018960480E-1,-1.703999937E-3,4.575999919E-3,1.130000455E-4,4.884276820E-3
2.044139650E-1,-1.703999937E-3,3.510999959E-3,2.243000083E-3,4.501309350E-3
2.069467250E-1,-6.390000344E-4,2.445999999E-3,3.308000043E-3,4.163424230E-3
2.094777670E-1,4.259999259E-4,-7.490001153E-4,1.178000006E-3,1.459507151E-3
2.120351630E-1,-2.769000130E-3,2.445999999E-3,-9.520000312E-4,3.815308870E-3
2.145530790E-1,-6.390000344E-4,-1.814000076E-3,-9.520000312E-4,2.145977954E-3
2.171039650E-1,-6.390000344E-4,3.160000779E-4,1.130000455E-4,7.217659617E-4
2.196331840E-1,-1.703999937E-3,3.510999959E-3,2.243000083E-3,4.501309350E-3
2.221672460E-1,-6.390000344E-4,1.381000038E-3,4.373000003E-3,4.630184789E-3
2.247272460E-1,-1.703999937E-3,2.445999999E-3,2.243000083E-3,3.730627447E-3
2.272451630E-1,-6.390000344E-4,2.445999999E-3,1.178000006E-3,2.789071719E-3
2.297659440E-1,-3.834000090E-3,4.575999919E-3,1.130000455E-4,5.970938030E-3
2.323053190E-1,-1.703999937E-3,5.641000345E-3,1.178000006E-3,6.009341453E-3
2.348677150E-1,-3.834000090E-3,3.160000779E-4,2.243000083E-3,4.453140702E-3
2.374227150E-1,-4.898999818E-3,2.445999999E-3,2.243000083E-3,5.917276787E-3
2.399406310E-1,4.259999259E-4,-7.490001153E-4,1.178000006E-3,1.459507151E-3
2.424572460E-1,-6.390000344E-4,2.445999999E-3,-9.520000312E-4,2.701396138E-3
2.449901110E-1,-3.834000090E-3,3.510999959E-3,1.178000006E-3,5.330512303E-3
